SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
47720,19453,30D0-4EF0-B1,2,711,1,20.1865,0,40.373,6AE142C0-D5E0-431D-8305-CF3E35D0AA12,29-08-12 22:00
69906,105881,NA,1,921,1,4.99,0,4.99,A511E391-31D9-48B8-9BA2-D198F1ED4CE8,03-04-14 22:00
63266,83460,4D6E-4BF2-B9,4,981,1,461.694,0,1846.776,DF3712AE-A296-48A5-943A-0AED2C1E43E1,30-12-13 23:00
55301,55813,C4D6-4789-A9,4,894,1,72.876,0,291.504,3C523992-1F61-47F2-96B3-15EE94BFCA5B,29-08-13 22:00
63289,83715,AC2B-462B-AA,2,783,1,1376.994,0,2753.988,639B70C5-B91D-4621-840B-2CC96A2FBA97,30-12-13 23:00
53541,48981,3774-40EB-A7,1,969,1,1430.442,0,1430.442,0638B3C9-5FA9-4F7C-91A8-EA1C77941DD9,30-07-13 22:00
49841,29654,35A1-40DC-99,3,849,1,35.994,0,107.982,62A43158-8756-453F-ADBA-EABBAA821E16,27-02-13 23:00
47380,16569,EF71-4036-91,4,852,1,44.994,0,179.976,7E8AC8A3-B032-4871-B773-ADBC5AF3E2F9,30-07-12 22:00
50903,35380,NA,1,791,1,2443.35,0,2443.35,9A87D56C-7C83-41CD-BB57-ACDB5BDFA8DB,11-05-13 22:00
51748,40354,1D77-486A-86,6,881,1,32.394,0,194.364,E7A154F7-046B-4D00-B63B-0C0F422FFF96,29-06-13 22:00
54656,53023,NA,1,957,1,2384.07,0,2384.07,6072CF1E-8F86-400F-B85D-F13D1729CB1E,17-08-13 22:00
64906,87834,NA,1,708,1,34.99,0,34.99,A8314C72-99D2-4E14-9E95-014256425D7C,24-01-14 23:00
64600,87061,NA,1,784,1,2294.99,0,2294.99,D904E47A-3F0C-4E82-8A7F-5F15E672DB64,18-01-14 23:00
69528,104431,2644-4747-86,2,715,1,29.994,0,59.988,2715125B-4BE9-4661-8671-FAE4278FF4F4,30-03-14 22:00
61204,76218,E810-4164-82,1,836,1,356.898,0,356.898,51A2BD4A-747A-4C09-84AA-5DB37BE90648,29-11-13 23:00
45233,5684,NA,1,771,1,3399.99,0,3399.99,CBC6A8BE-9024-4159-B95F-DE80260AF4D4,25-12-11 23:00
48012,20830,AF9F-4901-9E,6,835,1,324.4527,0,1946.7162,B9376DDC-3E25-485B-B8AF-195ECD3A9CE3,29-09-12 22:00
47973,20071,B9F1-47DA-87,2,795,1,1308.9375,0,2617.875,C3A26E06-764E-4DE8-878A-EDBAE34CB74F,29-09-12 22:00
51119,36442,5EB6-457F-85,2,955,14,953.628,0.2,1525.8048,41D98975-3F29-4B17-9E7F-AAA32F010938,29-05-13 22:00
70811,108159,NA,1,712,1,8.99,0,8.99,AB8077C7-64BB-4486-819C-2AEA0939859C,15-04-14 22:00
53465,47151,D859-4DF3-84,20,708,3,19.2445,0.05,365.6455,3B4A26D4-7C46-457A-88DA-70EBA4A57C75,30-07-13 22:00
71797,111043,8375-4C38-91,2,913,1,31.584,0,63.168,11BAEC31-14FF-4009-B096-228A6687B44E,30-04-14 22:00
44757,4348,C27A-4D15-8C,1,748,1,722.5949,0,722.5949,0ACBF102-5FE4-46B5-8EAD-75C53602C15A,30-10-11 23:00
53038,45721,NA,1,928,1,24.99,0,24.99,02DD7485-DDA2-43FF-A669-0482DD98C378,22-07-13 22:00
49066,26005,4065-4B0A-A2,6,714,1,28.8404,0,173.0424,225AE2B5-8186-40C8-9CA5-E8C4CD2F4CE0,30-12-12 23:00
60509,74084,NA,1,931,1,21.49,0,21.49,F2EFD525-CC44-40C3-82E7-C93356B353CE,18-11-13 23:00
58199,65714,NA,1,880,1,54.99,0,54.99,54E0B4EA-6562-4F66-BE69-2DB3B37570AA,17-10-13 22:00
