SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
56713,8,23-09-13,06-10-13,01-10-13,5,1,SO56713,NA,10-4030-012136,12136,NA,6,13244,13244,1,16126,921657Vi83412,9689,27.28,2.1824,0.682,30.1444,NA,08B73824-B12E-4C5B-BBF0-A1FE9F2B24A3,30-09-13 22:00
56135,8,12-09-13,25-09-13,20-09-13,5,1,SO56135,NA,10-4030-011670,11670,NA,4,16784,16784,1,6965,620564Vi36225,NA,62.98,5.0384,1.5745,69.5929,NA,5B0468DC-ABFD-4C04-B289-2CD1CBC4CD50,19-09-13 22:00
69067,8,25-03-14,07-04-14,02-04-14,5,1,SO69067,NA,10-4030-026744,26744,NA,9,26217,26217,1,8229,838405Vi42645,11700,1155.48,92.4384,28.887,1276.8054,NA,498D7376-76FD-4863-A4F5-4C822B1A2EB0,01-04-14 22:00
73376,8,19-05-14,01-06-14,27-05-14,5,1,SO73376,NA,10-4030-012117,12117,NA,1,15367,15367,1,17734,729743Vi92006,NA,39.99,3.1992,0.9998,44.189,NA,23271674-8D76-4A97-BA95-D14D6F4EE174,26-05-14 22:00
65916,8,06-02-14,19-02-14,14-02-14,5,1,SO65916,NA,10-4030-019183,19183,NA,7,22269,22269,1,70,828015Vi335,NA,48.97,3.9176,1.2243,54.1119,NA,AFB82773-E1B8-4112-B6A0-90EB777CF829,13-02-14 23:00
47346,8,29-07-12,11-08-12,06-08-12,5,1,SO47346,NA,10-4030-012585,12585,NA,9,13755,13755,1,16074,1035179Vi83103,5056,2049.0982,163.9279,51.2275,2264.2536,NA,2C9C4B81-470B-495C-8D04-8628A2BAA88E,05-08-12 22:00
54381,8,13-08-13,26-08-13,21-08-13,5,1,SO54381,NA,10-4030-013116,13116,NA,9,15817,15817,1,15975,416994Vi82574,9236,32.27,2.5816,0.8068,35.6584,NA,2141611C-5D44-4237-93D0-A9C445A0426D,20-08-13 22:00
60933,8,25-11-13,08-12-13,03-12-13,5,1,SO60933,NA,10-4030-025574,25574,NA,7,29409,29409,1,NA,NA,NA,1273.83,101.9064,31.8458,1407.5822,NA,187D5713-58C8-40DA-B0FF-7E5E07DBFD59,02-12-13 23:00
63802,8,06-01-14,19-01-14,14-01-14,5,1,SO63802,NA,10-4030-026623,26623,NA,1,11822,11822,1,14265,1140208Vi73979,NA,792.34,63.3872,19.8085,875.5357,NA,59BCC69A-6037-43DA-869B-7DB55111CDFE,13-01-14 23:00
55828,8,06-09-13,19-09-13,14-09-13,5,1,SO55828,NA,10-4030-028127,28127,NA,4,22164,22164,1,6189,1020789Vi32162,NA,4.99,0.3992,0.1248,5.514,NA,B2DB9BA0-1BD3-4841-89DE-0D88946189F7,13-09-13 22:00
62742,8,23-12-13,05-01-14,31-12-13,5,1,SO62742,NA,10-4030-025976,25976,NA,4,15071,15071,1,5157,1040468Vi26974,NA,2384.07,190.7256,59.6018,2634.3974,NA,7A0F6463-5A94-4AE6-A3E8-01CA71B575B2,30-12-13 23:00
61774,8,07-12-13,20-12-13,15-12-13,5,1,SO61774,NA,10-4030-013132,13132,NA,9,28253,28253,1,16145,839612Vi83521,10512,2369.97,189.5976,59.2493,2618.8169,NA,07513D2A-D405-41B3-895E-88A1A5C3E776,14-12-13 23:00
73177,8,16-05-14,29-05-14,24-05-14,5,1,SO73177,NA,10-4030-011417,11417,NA,7,21465,21465,1,6582,242991Vi34223,NA,2419.06,193.5248,60.4765,2673.0613,NA,03DCAF12-D666-4BAE-8B09-41668575BBA8,23-05-14 22:00
56042,8,10-09-13,23-09-13,18-09-13,5,1,SO56042,NA,10-4030-014633,14633,NA,6,24016,24016,1,10848,523603Vi55979,9546,23.97,1.9176,0.5993,26.4869,NA,757B9634-D129-47E4-AD99-FAE787D92919,17-09-13 22:00
50841,8,06-05-13,19-05-13,14-05-13,5,1,SO50841,NA,10-4030-019032,19032,NA,10,25430,25430,1,12712,1030479Vi65727,8152,2181.5625,174.525,54.5391,2410.6266,NA,FA61867E-D9EE-4F9C-80CD-8B120A34DD1E,13-05-13 22:00
55486,8,31-08-13,13-09-13,08-09-13,5,1,SO55486,NA,10-4030-027930,27930,NA,8,16232,16232,1,17576,1028849Vi91272,NA,36.27,2.9016,0.9068,40.0784,NA,C05161C2-84B1-4349-8B53-55610B38624E,07-09-13 22:00
54849,8,21-08-13,03-09-13,29-08-13,5,1,SO54849,NA,10-4030-019078,19078,NA,7,25526,25526,1,1419,1127007Vi7280,NA,32.27,2.5816,0.8068,35.6584,NA,D68ADE22-AE6C-4B3D-937F-FCD3ED9FDB31,28-08-13 22:00
51863,8,29-06-13,12-07-13,07-07-13,5,0,SO51863,PO5046174812,10-4020-000596,29753,283,1,897,897,5,15319,98217Vi79176,NA,461.694,44.3226,13.8508,519.8674,NA,F27F5C3B-FEEF-47E4-A7DC-D7E91F586843,06-07-13 22:00
73862,8,25-05-14,07-06-14,02-06-14,5,1,SO73862,NA,10-4030-026829,26829,NA,8,18323,18323,1,12364,741948Vi63950,NA,1728.27,138.2616,43.2068,1909.7384,NA,5ECB72DF-4561-4638-BB00-31FF52C37849,01-06-14 22:00
49201,8,02-01-13,15-01-13,10-01-13,5,1,SO49201,NA,10-4030-017795,17795,NA,10,16077,16077,1,12400,230669Vi64101,6788,2443.35,195.468,61.0838,2699.9018,NA,665776C4-E59B-4C18-A195-4EE24DB461DD,09-01-13 23:00
54555,8,16-08-13,29-08-13,24-08-13,5,1,SO54555,NA,10-4030-018523,18523,NA,6,15043,15043,1,3652,524377Vi19265,9271,128.97,10.3176,3.2243,142.5119,NA,ED49FAE9-AD66-4495-BBEF-25411C3C46FF,23-08-13 22:00
73837,8,25-05-14,07-06-14,02-06-14,5,1,SO73837,NA,10-4030-013987,13987,NA,6,14110,14110,1,2557,136216Vi13332,12373,2329.99,186.3992,58.2498,2574.639,NA,B5CB7F5F-1CB9-4E03-8878-1C41874E35B8,01-06-14 22:00
71821,8,30-04-14,13-05-14,08-05-14,5,0,SO71821,PO11977190694,10-4020-000675,29721,279,5,984,984,5,19078,86222Vi99116,NA,4373.73,427.5025,133.5945,4934.827,NA,0000DE87-AB3F-4920-AC46-C404834241A0,07-05-14 22:00
49214,8,02-01-13,15-01-13,10-01-13,5,1,SO49214,NA,10-4030-023575,23575,NA,9,25092,25092,1,8351,735583Vi43254,6783,2181.5625,174.525,54.5391,2410.6266,NA,7919414C-2C0B-48CB-B3D7-1E2B226C4360,09-01-13 23:00
62299,8,16-12-13,29-12-13,24-12-13,5,1,SO62299,NA,10-4030-029046,29046,NA,1,17494,17494,1,3036,121592Vi15973,NA,31.27,2.5016,0.7818,34.5534,NA,CD125A42-9195-4332-91B9-CE5E958F29D4,23-12-13 23:00
65956,8,07-02-14,20-02-14,15-02-14,5,1,SO65956,NA,10-4030-020406,20406,NA,9,23341,23341,1,10574,117917Vi54513,11194,59.98,4.7984,1.4995,66.2779,NA,E583CF20-5AEF-4BA1-9629-5318FFC1C645,14-02-14 23:00
72664,8,10-05-14,23-05-14,18-05-14,5,1,SO72664,NA,10-4030-011507,11507,NA,6,11681,11681,1,13908,1221922Vi72115,12208,23.78,1.9024,0.5945,26.2769,NA,31283A5F-9F19-425E-8BAC-CFDED21DA6F9,17-05-14 22:00
73239,8,17-05-14,30-05-14,25-05-14,5,1,SO73239,NA,10-4030-013020,13020,NA,9,25037,25037,1,9954,339176Vi51190,12283,539.99,43.1992,13.4998,596.689,NA,3D91DA27-5DB7-4AC1-ACCF-47D7055B85D1,24-05-14 22:00
45442,8,14-01-12,27-01-12,22-01-12,5,1,SO45442,NA,10-4030-029335,29335,NA,1,15657,15657,1,7647,333603Vi39617,NA,3578.27,286.2616,89.4568,3953.9884,NA,3E90248F-B7B1-4F44-A10E-944B3391ABAD,21-01-12 23:00
59549,8,04-11-13,17-11-13,12-11-13,5,1,SO59549,NA,10-4030-014941,14941,NA,10,28648,28648,1,2403,937889Vi12521,10154,786.33,62.9064,19.6583,868.8947,NA,A9838C8E-1F8C-46DF-B22B-0DFC12484E2E,11-11-13 23:00
71339,8,23-04-14,06-05-14,01-05-14,5,1,SO71339,NA,10-4030-021428,21428,NA,1,16951,16951,1,10035,941242Vi51663,NA,1155.48,92.4384,28.887,1276.8054,NA,6C3D4B34-7B66-447D-8109-4CB86CCAA50A,30-04-14 22:00
46100,8,29-03-12,11-04-12,06-04-12,5,0,SO46100,PO7627134166,10-4020-000433,29617,280,1,880,880,5,10270,108499Vi53004,NA,47655.0602,4575.6518,1429.8912,53660.6032,NA,682C7477-9552-4116-9501-E9F5A086B596,05-04-12 22:00
73821,8,25-05-14,07-06-14,02-06-14,5,1,SO73821,NA,10-4030-025437,25437,NA,6,14280,14280,1,18358,524721Vi95404,12373,13.98,1.1184,0.3495,15.4479,NA,5469457F-25E9-4C05-8AFD-EEA4EFF2289D,01-06-14 22:00
45581,8,28-01-12,10-02-12,05-02-12,5,1,SO45581,NA,10-4030-011263,11263,NA,1,17526,17526,1,4164,532589Vi21854,NA,3578.27,286.2616,89.4568,3953.9884,NA,E244BD40-630C-4361-AB6D-BA1A2912D868,04-02-12 23:00
74269,8,02-06-14,15-06-14,10-06-14,5,1,SO74269,NA,10-4030-014546,14546,NA,10,18567,18567,1,7791,526668Vi40364,NA,123.98,9.9184,3.0995,136.9979,NA,7D595383-5C27-4178-B330-D0CC7337FD90,09-06-14 22:00
72585,8,09-05-14,22-05-14,17-05-14,5,1,SO72585,NA,10-4030-023308,23308,NA,9,22151,22151,1,1718,818066Vi8828,12195,4.99,0.3992,0.1248,5.514,NA,881B16D1-9FD1-463F-BA02-DFE1C13CACD9,16-05-14 22:00
60992,8,26-11-13,09-12-13,04-12-13,5,1,SO60992,NA,10-4030-017804,17804,NA,8,26055,26055,1,546,426977Vi2824,NA,73.96,5.9168,1.849,81.7258,NA,C540F6A4-432A-4753-8C66-28A8B364F67E,03-12-13 23:00
44235,8,21-08-11,03-09-11,29-08-11,5,1,SO44235,NA,10-4030-022117,22117,NA,6,19103,19103,1,6671,431813Vi34736,1083,3578.27,286.2616,89.4568,3953.9884,NA,CD535E4E-35CE-4987-801E-0316A8BC1C79,28-08-11 22:00
53428,8,29-07-13,11-08-13,06-08-13,5,1,SO53428,NA,10-4030-018022,18022,NA,8,28321,28321,1,2495,327274Vi13020,NA,63.97,5.1176,1.5993,70.6869,NA,728E9E9C-547C-4A7C-98EA-B3A7770B4298,05-08-13 22:00
48107,8,01-10-12,14-10-12,09-10-12,5,1,SO48107,NA,10-4030-022580,22580,NA,9,21829,21829,1,8777,833903Vi45321,5760,2443.35,195.468,61.0838,2699.9018,NA,2C6ED84F-8A72-4357-A243-D42142F6D2F7,08-10-12 22:00
70428,8,10-04-14,23-04-14,18-04-14,5,1,SO70428,NA,10-4030-018352,18352,NA,4,26267,26267,1,12352,736658Vi63905,NA,2334.98,186.7984,58.3745,2580.1529,NA,2C42727C-9DF0-4EDF-AC75-3F0E16BA89C6,17-04-14 22:00
67088,8,25-02-14,10-03-14,05-03-14,5,1,SO67088,NA,10-4030-012624,12624,NA,8,11473,11473,1,13629,119539Vi70637,NA,2329.98,186.3984,58.2495,2574.6279,NA,18DB6574-5066-4060-9623-380F280E49E0,04-03-14 23:00
65803,8,05-02-14,18-02-14,13-02-14,5,1,SO65803,NA,10-4030-017956,17956,NA,7,11860,11860,1,14408,616376Vi74678,NA,1732.26,138.5808,43.3065,1914.1473,NA,6263527A-EFFA-45D4-AE17-C8DEA9E21D44,12-02-14 23:00
51177,8,29-05-13,11-06-13,06-06-13,5,1,SO51177,NA,10-4030-027873,27873,NA,9,21242,21242,1,8781,916349Vi45338,8400,1249.84,99.9872,31.246,1381.0732,NA,1C527540-0CC9-4E21-88AE-99CAE79A7337,05-06-13 22:00
62400,8,18-12-13,31-12-13,26-12-13,5,1,SO62400,NA,10-4030-019619,19619,NA,9,24406,24406,1,15655,117445Vi80884,10633,23.78,1.9024,0.5945,26.2769,NA,1178682B-9570-4BDD-8928-5D3A1CE0494D,25-12-13 23:00
59235,8,31-10-13,13-11-13,08-11-13,5,1,SO59235,NA,10-4030-012293,12293,NA,10,16482,16482,1,17384,1127245Vi90298,10110,62.98,5.0384,1.5745,69.5929,NA,6D0D6622-3717-4DF0-8166-6B3B31381A85,07-11-13 23:00
45918,8,15-03-12,28-03-12,23-03-12,5,1,SO45918,NA,10-4030-011741,11741,NA,4,20986,20986,1,15363,132429Vi79356,NA,3578.27,286.2616,89.4568,3953.9884,NA,FD03CC5A-8791-4234-91C7-901378FD58F8,22-03-12 23:00
52344,8,08-07-13,21-07-13,16-07-13,5,1,SO52344,NA,10-4030-018569,18569,NA,1,28670,28670,1,12148,824475Vi62799,NA,4.99,0.3992,0.1248,5.514,NA,102C9F1F-3D2D-4EC4-B1A0-A77E870646BD,15-07-13 22:00
50968,8,17-05-13,30-05-13,25-05-13,5,1,SO50968,NA,10-4030-015968,15968,NA,4,12763,12763,1,11060,1133484Vi57061,NA,782.99,62.6392,19.5748,865.204,NA,4DDBD6FD-ECED-486D-996E-EA8E61B2D312,24-05-13 22:00
51812,8,29-06-13,12-07-13,07-07-13,5,0,SO51812,PO8555114368,10-4020-000250,29868,282,10,648,648,5,4218,67634Vi22202,8746,5194.614,472.4243,147.6326,5814.6709,NA,EECE5CD0-0567-401B-B78F-DC9D8858E496,06-07-13 22:00
54680,8,18-08-13,31-08-13,26-08-13,5,1,SO54680,NA,10-4030-023795,23795,NA,4,20698,20698,1,1574,1222388Vi8082,NA,71.58,5.7264,1.7895,79.0959,NA,3809A3CF-8B3B-4F4D-A2DD-072671905257,25-08-13 22:00
