Invoice_ID,Product_ID,Quantity,Unit_Price,Tax
789-23-8625,p_06,3,93.22,13.983
446-47-6729,p_06,2,99.82,9.982
278-97-7759,p_02,1,62.48,3.124
266-76-6436,p_05,3,38.6,5.79
163-56-7055,p_06,1,48.71,2.4355
788-07-8452,p_03,7,24.24,8.484
109-86-4363,p_04,7,60.08,21.028
607-76-6216,p_06,5,92.49,23.1225
869-11-3082,p_01,4,96.16,19.232
636-17-0325,p_01,4,62.57,12.514
805-86-0265,p_03,9,93.96,42.282
389-25-3394,p_02,5,11.81,2.9525
437-58-8131,p_06,2,73.52,7.352
387-49-4215,p_04,3,48.5,7.275
560-30-5617,p_04,5,24.77,6.1925
838-78-4295,p_01,2,33.47,3.347
308-47-4913,p_04,10,52.26,26.13
827-44-5872,p_05,10,54.36,27.18
875-31-8302,p_04,1,93.38,4.669
181-94-6432,p_06,2,69.33,6.933
746-54-5508,p_03,6,21.52,6.456
366-43-6862,p_02,4,52.89,10.578
840-76-5966,p_04,2,12.76,1.276
883-17-4236,p_04,2,14.39,1.439
842-40-8179,p_05,10,77.2,38.6
477-24-6490,p_01,6,99.71,29.913
279-74-2924,p_02,1,72.17,3.6085
219-61-4139,p_02,1,83.08,4.154
670-79-6321,p_03,7,94.59,33.1065
817-69-8206,p_02,9,99.73,44.8785
394-55-6384,p_04,9,70.19,31.5855
232-11-3025,p_04,10,78.77,39.385
459-45-2396,p_05,3,99.6,14.94
327-40-9673,p_04,6,72.6,21.78
595-86-2894,p_06,4,96.98,19.396
821-07-3596,p_06,4,16.45,3.29
256-08-8343,p_03,4,56.53,11.306
787-87-2010,p_01,4,55.5,11.1
325-89-4209,p_05,1,87.9,4.395
471-06-8611,p_05,1,52.42,2.621
628-90-8624,p_01,10,82.58,41.29
287-83-1405,p_01,6,25.43,7.629
320-85-2052,p_04,1,34.81,1.7405
759-98-4285,p_01,7,85.87,30.0545
676-39-6028,p_02,5,64.44,16.11
785-96-0615,p_02,8,35.74,14.296
123-19-1176,p_01,8,58.22,23.288
133-14-7229,p_01,2,62.87,6.287
891-58-8335,p_04,7,29.61,10.3635
645-78-8093,p_04,2,93.14,9.314
828-61-5674,p_04,10,44.02,22.01
826-58-8051,p_03,4,62.19,12.438
420-18-8989,p_04,8,51.52,20.608
408-26-9866,p_04,7,73.98,25.893
563-47-4072,p_01,6,55.81,16.743
450-42-3339,p_01,10,84.61,42.305
518-71-6847,p_05,6,26.6,7.98
182-69-8360,p_02,4,23.65,4.73
365-64-0515,p_02,5,46.95,11.7375
595-94-9924,p_01,5,27.73,6.9325
549-59-1358,p_04,3,88.63,13.2945
704-20-4138,p_01,7,29.67,10.3845
569-71-4390,p_04,2,21.87,2.187
339-96-8318,p_06,7,81.31,28.4585
725-32-9708,p_06,4,68.71,13.742
530-90-9855,p_03,8,47.59,19.036
801-88-0346,p_06,3,76.06,11.409
778-89-7974,p_01,6,70.21,21.063
299-29-0180,p_03,7,52.18,18.263
695-51-0018,p_04,4,34.84,6.968
864-24-7918,p_04,10,24.49,12.245
413-20-6708,p_06,1,51.47,2.5735
257-60-7754,p_02,4,50.23,10.046
730-61-8757,p_01,4,51.13,10.226
766-85-7061,p_01,10,87.87,43.935
686-41-0932,p_06,2,34.7,3.47
