Customer_Id,Invoice_ID,Customer_type,Branch,Product_ID,Payment,Purchase_Date,Rating
191,750-67-8428,Member,A,p_01,Ewallet,12-Dec-2020,9.1
144,226-31-3081,Normal,C,p_02,Cash,14-Apr-2019,9.6
156,631-41-3108,Normal,A,p_03,Credit card,23-Feb-2019,7.4
905,123-19-1176,Member,A,p_01,Ewallet,18-Apr-2020,8.4
447,373-73-7910,Normal,A,p_04,Ewallet,7-Sep-2019,5.3
158,699-14-3026,Normal,C,p_02,Ewallet,4-Oct-2019,4.1
904,355-53-5943,Member,A,p_02,Ewallet,9-Jan-2019,5.8
414,315-22-5665,Normal,C,p_03,Ewallet,25-Oct-2020,8
658,665-32-9167,Member,A,p_01,Credit card,5-May-2020,7.2
461,692-92-5582,Member,B,p_05,Credit card,30-Apr-2021,5.9
943,351-62-0822,Member,B,p_06,Ewallet,5-Aug-2021,4.5
833,529-56-3974,Member,B,p_02,Cash,25-Jan-2021,6.8
5,365-64-0515,Normal,A,p_02,Ewallet,21-Jan-2021,7.1
19,252-56-2699,Normal,A,p_05,Ewallet,13-Aug-2021,8.2
59,829-34-3910,Normal,A,p_01,Cash,29-Jan-2022,5.7
25,299-46-1805,Member,B,p_04,Cash,26-Dec-2019,4.5
222,656-95-9349,Member,A,p_01,Credit card,11-Mar-2020,4.6
920,765-26-6951,Normal,A,p_04,Credit card,8-Jun-2019,6.9
823,329-62-1586,Normal,A,p_05,Credit card,15-Jun-2021,8.6
605,319-50-3348,Normal,B,p_03,Ewallet,6-Aug-2020,4.4
383,300-71-4605,Member,C,p_02,Ewallet,20-Aug-2019,4.8
367,371-85-5789,Normal,B,p_01,Ewallet,11-Aug-2020,5.1
198,273-16-6619,Normal,B,p_03,Credit card,31-Dec-2019,4.4
148,636-48-8204,Normal,A,p_02,Ewallet,27-Nov-2021,9.9
85,549-59-1358,Member,A,p_04,Ewallet,14-Nov-2021,6
672,227-03-5010,Member,A,p_03,Credit card,17-May-2020,8.5
515,649-29-6775,Normal,B,p_06,Cash,25-Jun-2020,6.7
591,189-17-4241,Normal,A,p_06,Credit card,6-May-2021,7.7
181,145-94-9061,Normal,B,p_05,Cash,18-Mar-2019,9.6
55,848-62-7243,Normal,A,p_01,Cash,5-Oct-2019,7.4
582,871-79-8483,Normal,B,p_06,Credit card,27-Jul-2019,4.8
415,149-71-6266,Member,B,p_04,Cash,4-Mar-2019,4.5
184,640-49-2076,Normal,B,p_04,Cash,11-Apr-2021,5.1
861,595-11-5460,Normal,A,p_01,Credit card,13-Jun-2019,5.1
831,183-56-6882,Member,C,p_05,Ewallet,2-Dec-2020,7.5
507,232-16-2483,Member,C,p_04,Ewallet,12-Mar-2020,6.8
420,129-29-8530,Member,A,p_04,Ewallet,8-Nov-2021,7
680,272-65-1806,Normal,A,p_02,Ewallet,22-Dec-2019,4.7
987,333-73-7901,Normal,C,p_01,Ewallet,7-Jun-2020,7.6
272,777-82-7220,Member,B,p_03,Cash,25-Mar-2019,7.7
988,280-35-5823,Member,B,p_03,Ewallet,20-Apr-2021,7.9
748,554-53-8700,Member,C,p_03,Cash,16-Mar-2021,6.3
155,354-25-5821,Member,B,p_04,Cash,27-Jan-2021,5.6
105,228-96-1411,Member,C,p_05,Cash,17-Nov-2020,7.6
618,617-15-4209,Member,C,p_01,Cash,27-Feb-2022,7.2
776,132-32-9879,Member,B,p_02,Cash,16-Nov-2021,9.5
745,370-41-7321,Member,B,p_01,Credit card,13-Aug-2019,8.4
892,727-46-3608,Member,B,p_05,Ewallet,20-Jun-2019,4.1
555,669-54-1719,Member,B,p_02,Credit card,19-Sep-2019,8.1
580,574-22-5561,Member,C,p_06,Ewallet,17-Jun-2021,7.9
99,326-78-5178,Member,C,p_05,Cash,30-May-2019,9.5
202,162-48-8011,Member,A,p_05,Cash,17-May-2021,8.5
531,616-24-2851,Member,B,p_06,Ewallet,11-Sep-2020,6.5
911,778-71-5554,Member,C,p_06,Credit card,17-Mar-2020,6.1
925,242-55-6721,Normal,B,p_03,Ewallet,10-Jan-2020,6.5
843,399-46-5918,Normal,C,p_02,Cash,29-May-2020,8.2
676,106-35-6779,Member,A,p_03,Cash,18-Jan-2021,5.8
603,635-40-6220,Normal,A,p_01,Ewallet,27-May-2020,6.6
377,817-48-8732,Member,A,p_03,Cash,26-Nov-2019,5.4
115,120-06-4233,Normal,C,p_02,Cash,16-Jun-2020,9.3
445,285-68-5083,Member,C,p_04,Credit card,20-Dec-2021,10
386,803-83-5989,Normal,C,p_03,Ewallet,13-Jul-2021,7
