city,sales,volume,median,listings,inventory,date
Abilene,72,5380000,71400,701,6.3,2000/01/01
Abilene,98,6505000,58700,746,6.6,2000/02/01
Abilene,130,9285000,58100,784,6.8,2000/03/01
Abilene,98,9730000,68600,785,6.9,2000/04/01
Abilene,141,10590000,67300,794,6.8,2000/05/01
Abilene,156,13910000,66900,780,6.6,2000/06/01
Abilene,152,12635000,73500,742,6.2,2000/07/01
Abilene,131,10710000,75000,765,6.4,2000/08/01
Abilene,104,7615000,64500,771,6.5,2000/09/01
Abilene,101,7040000,59300,764,6.6,2000/10/01
Abilene,100,7890000,70900,721,6.2,2000/11/01
Abilene,92,7285000,65000,658,5.7,2000/12/01
Abilene,75,5730000,64500,779,6.8,2001/01/01
Abilene,112,8670000,68900,700,6,2001/02/01
Abilene,118,9550000,72300,738,6.4,2001/03/01
Abilene,105,8705000,71500,810,7,2001/04/01
Abilene,150,11850000,71000,772,6.6,2001/05/01
Abilene,139,11290000,78100,825,7.2,2001/06/01
Abilene,134,13175000,86700,801,7.1,2001/07/01
Abilene,151,11840000,69000,891,7.7,2001/08/01
Abilene,116,8395000,64200,849,7.3,2001/09/01
Abilene,121,9010000,64600,756,6.4,2001/10/01
Abilene,116,8955000,69100,695,5.8,2001/11/01
Abilene,94,7195000,71800,620,5.2,2001/12/01
Abilene,94,6530000,64000,652,5.4,2002/01/01
Abilene,94,6860000,62900,746,6.3,2002/02/01
Abilene,107,8385000,62100,774,6.5,2002/03/01
Abilene,135,10465000,66900,767,6.3,2002/04/01
Abilene,154,11465000,69200,778,6.4,2002/05/01
Abilene,136,11600000,76700,758,6.3,2002/06/01
Abilene,159,13500000,73900,746,6.1,2002/07/01
Abilene,155,12875000,82200,709,5.7,2002/08/01
Abilene,133,9965000,67300,703,5.6,2002/09/01
Abilene,134,10395000,73600,664,5.3,2002/10/01
Abilene,107,8485000,59400,643,5.1,2002/11/01
Abilene,108,8150000,65000,649,5.1,2002/12/01
Abilene,68,5385000,70000,668,5.4,2003/01/01
Abilene,110,8500000,72300,716,5.7,2003/02/01
Abilene,120,9445000,62300,765,6,2003/03/01
Abilene,125,11270000,79700,763,6.1,2003/04/01
Abilene,142,12030000,79400,750,6,2003/05/01
Abilene,132,11545000,71400,777,6.2,2003/06/01
Abilene,171,13940000,75000,778,6.2,2003/07/01
Abilene,193,16230000,78200,731,5.7,2003/08/01
Abilene,147,13350000,74300,730,5.6,2003/09/01
Abilene,142,11215000,67300,721,5.5,2003/10/01
Abilene,129,10110000,66400,675,5.1,2003/11/01
Abilene,153,12655000,66900,640,4.7,2003/12/01
Abilene,97,6945000,66100,657,4.7,2004/01/01
