Invoice_ID,Product_ID,Total,cogs
750-67-8428,p_01,548.9715,522.83
226-31-3081,p_02,80.22,76.4
631-41-3108,p_03,340.5255,324.31
123-19-1176,p_01,489.048,465.76
373-73-7910,p_04,634.3785,604.17
699-14-3026,p_02,627.6165,597.73
355-53-5943,p_02,433.692,413.04
315-22-5665,p_03,772.38,735.6
665-32-9167,p_01,76.146,72.52
692-92-5582,p_05,172.746,164.52
351-62-0822,p_06,60.816,57.92
529-56-3974,p_02,107.142,102.04
365-64-0515,p_02,246.4875,234.75
252-56-2699,p_05,453.495,431.9
829-34-3910,p_01,749.49,713.8
299-46-1805,p_04,590.436,562.32
656-95-9349,p_01,506.6355,482.51
765-26-6951,p_04,457.443,435.66
329-62-1586,p_05,172.2105,164.01
319-50-3348,p_03,84.63,80.6
300-71-4605,p_02,451.71,430.2
371-85-5789,p_01,277.137,263.94
273-16-6619,p_03,69.72,66.4
636-48-8204,p_02,181.44,172.8
549-59-1358,p_04,279.1845,265.89
227-03-5010,p_03,441.756,420.72
649-29-6775,p_06,35.196,33.52
189-17-4241,p_06,184.107,175.34
145-94-9061,p_05,463.89,441.8
848-62-7243,p_01,235.2105,224.01
871-79-8483,p_06,494.1825,470.65
149-71-6266,p_04,737.7615,702.63
640-49-2076,p_04,703.752,670.24
595-11-5460,p_01,202.818,193.16
183-56-6882,p_05,417.564,397.68
232-16-2483,p_04,71.526,68.12
129-29-8530,p_04,328.755,313.1
272-65-1806,p_02,575.316,547.92
333-73-7901,p_01,461.328,439.36
777-82-7220,p_03,253.008,240.96
280-35-5823,p_03,91.056,86.72
554-53-8700,p_03,117.831,112.22
354-25-5821,p_04,435.456,414.72
228-96-1411,p_05,829.08,789.6
617-15-4209,p_01,32.277,30.74
132-32-9879,p_02,394.632,375.84
370-41-7321,p_01,535.7205,510.21
727-46-3608,p_05,189.0945,180.09
669-54-1719,p_02,119.259,113.58
574-22-5561,p_06,867.615,826.3
326-78-5178,p_05,671.79,639.8
162-48-8011,p_05,234.0975,222.95
616-24-2851,p_06,75.054,71.48
778-71-5554,p_06,16.2015,15.43
242-55-6721,p_03,33.936,32.32
399-46-5918,p_02,722.232,687.84
106-35-6779,p_03,93.114,88.68
635-40-6220,p_01,752.64,716.8
817-48-8732,p_03,759.675,723.5
120-06-4233,p_02,192.843,183.66
285-68-5083,p_04,77.931,74.22
803-83-5989,p_03,351.099,334.38
347-34-2234,p_04,520.4115,495.63
199-75-8169,p_04,166.005,158.1
853-23-2453,p_01,318.108,302.96
877-22-3308,p_01,166.635,158.7
838-78-4295,p_01,70.287,66.94
109-28-2512,p_06,614.943,585.66
232-11-3025,p_04,827.085,787.7
382-03-4532,p_01,19.2465,18.33
393-65-2792,p_05,939.54,894.8
796-12-2025,p_06,652.26,621.2
510-95-6347,p_05,152.838,145.56
841-35-6630,p_02,478.233,455.46
287-21-9091,p_03,705.6315,672.03
732-94-0499,p_02,437.325,416.5
263-10-3913,p_06,463.428,441.36
381-20-0914,p_06,189.0945,180.09
829-49-1914,p_05,822.255,783.1
756-01-7507,p_01,106.995,101.9
870-72-4431,p_01,624.897,595.14
847-38-7188,p_05,304.542,290.04
480-63-2856,p_05,161.7,154
787-56-0757,p_05,337.512,321.44
360-39-5055,p_04,256.7775,244.55
730-50-9884,p_04,610.491,581.42
362-58-8315,p_06,401.73,382.6
633-44-8566,p_05,362.943,345.66
504-35-8843,p_04,44.5935,42.47
318-68-5053,p_01,485.037,461.94
565-80-5980,p_03,198.996,189.52
225-32-0908,p_04,471.03,448.6
873-51-0671,p_04,161.553,153.86
152-08-9985,p_01,608.202,579.24
512-91-0811,p_01,94.2375,89.75
594-34-4444,p_02,102.018,97.16
766-85-7061,p_01,922.635,878.7
871-39-9221,p_02,78.435,74.7
865-92-6136,p_05,166.1625,158.25
733-01-9107,p_03,521.01,496.2
163-56-7055,p_06,51.1455,48.71
189-98-2939,p_06,742.2975,706.95
551-21-3069,p_02,218.0115,207.63
212-62-1842,p_05,367.038,349.56
716-39-1409,p_01,223.0725,212.45
704-48-3927,p_02,931.035,886.7
628-34-3388,p_06,172.494,164.28
630-74-5166,p_04,391.419,372.78
588-01-7461,p_05,321.111,305.82
861-77-0145,p_02,860.685,819.7
479-26-8945,p_04,34.629,32.98
210-67-5886,p_01,309.3615,294.63
227-78-1148,p_06,535.374,509.88
645-44-1170,p_03,548.7615,522.63
237-01-6122,p_03,763.4655,727.11
225-98-1496,p_06,85.113,81.06
291-32-1427,p_06,115.185,109.7
659-65-8956,p_06,53.928,51.36
642-32-2990,p_05,115.08,109.6
378-24-2715,p_03,112.224,106.88
638-60-7125,p_02,836.304,796.48
659-36-1684,p_04,419.832,399.84
219-22-9386,p_04,944.622,899.64
336-78-2147,p_03,536.844,511.28
268-27-6179,p_06,474.348,451.76
668-90-8900,p_03,688.6215,655.83
870-54-3162,p_04,169.3125,161.25
189-08-9157,p_06,299.8485,285.57
663-86-9076,p_05,575.736,548.32
549-84-7482,p_04,853.146,812.52
191-10-6171,p_06,291.207,277.34
802-70-5316,p_04,580.419,552.78
695-51-0018,p_04,146.328,139.36
590-83-4591,p_02,550.935,524.7
483-71-1164,p_01,512.19,487.8
597-78-7908,p_06,284.193,270.66
700-81-1757,p_02,138.1275,131.55
354-39-5160,p_03,216.846,206.52
241-72-9525,p_04,545.055,519.1
575-30-8091,p_04,609,580
731-81-9469,p_04,942.9,898
280-17-4359,p_01,950.25,905
338-65-2210,p_01,720.3,686
488-25-4221,p_05,31.9305,30.41
239-10-7476,p_03,491.085,467.7
458-41-1477,p_01,291.438,277.56
685-64-1609,p_06,316.47,301.4
568-90-5112,p_01,277.788,264.56
262-47-2794,p_03,603.624,574.88
238-49-0436,p_01,272.664,259.68
608-96-3517,p_06,384.468,366.16
584-86-7256,p_04,254.016,241.92
746-94-0204,p_06,786.618,749.16
214-17-6927,p_05,103.824,98.88
400-89-4171,p_04,680.148,647.76
782-95-9291,p_05,484.5225,461.45
279-74-2924,p_02,75.7785,72.17
307-85-2293,p_03,263.97,251.4
743-04-1105,p_01,918.729,874.98
423-57-2993,p_04,588.357,560.34
894-41-5205,p_05,362.712,345.44
275-28-0149,p_04,66.8745,63.69
101-17-6199,p_05,336.5565,320.53
423-80-0988,p_04,160.44,152.8
548-46-9322,p_05,418.95,399
505-02-0892,p_01,357.588,340.56
234-65-2137,p_03,1003.59,955.8
687-47-8271,p_06,1039.29,989.8
796-32-9050,p_05,323.064,307.68
105-31-1824,p_04,510.972,486.64
249-42-3782,p_01,367.5525,350.05
316-55-4634,p_05,420.2625,400.25
733-33-4967,p_02,175.14,166.8
608-27-6295,p_02,333.207,317.34
414-12-7047,p_05,166.236,158.32
827-26-2100,p_03,319.788,304.56
175-54-2529,p_05,186.228,177.36
139-52-2867,p_06,165.4485,157.57
407-63-8975,p_05,465.444,443.28
342-65-4817,p_01,273.42,260.4
130-98-8941,p_06,472.311,449.82
